fund_name,ticker,date,security_name,CUSIP,price,quantity,clean_mkt_value,dirty_mkt_value,ptf_weight
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 5.5% 27-jun-2044,71654QBE,103.2300034,16000,16516.79929,16599.9104,0.076537592
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 5.625% 23-jan-2046,71654QBX,NA,210000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.35% 12-feb-2048,71654QCL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.35% 12-feb-2048,71654QCJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.5% 13-mar-2027,71654QCG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.5% 13-mar-2027,71656LBQ,NA,405000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.5% 23-jan-2029,71654QCP,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.75% 21-sep-2047,71654QCC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.75% 21-sep-2047,71656LBM,NA,690000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.75% 21-sep-2047,71656LBT,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.875% 04-aug-2026,71656LBK,NA,115000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Petroleos Mexicanos Sa 6.875% 04-aug-2026,71654QCB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pfizer Inc. 0.0% 16-aug-2018,71708FHG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pfizer Inc. 2.802% 11-mar-2022,717081ER,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pfizer Inc. 2.961% 15-mar-2024,717081ES,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pfizer Inc. 3.0% 15-sep-2021,717081EM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pfizer Inc. 3.2% 15-sep-2023,717081EN,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pfizer Inc. 3.478% 15-mar-2029,717081ET,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pfizer Inc. 4.095% 15-mar-2049,717081EV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 2.0% 21-feb-2020,718172BX,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 2.125% 10-may-2023,718172BU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 2.375% 17-aug-2022,718172CA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 2.5% 02-nov-2022,718172CD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 2.625% 18-feb-2022,718172BZ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 3.125% 02-mar-2028,718172CE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 3.6% 15-nov-2023,718172BE,101.8479996,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 3.875% 21-aug-2042,718172AU,91.2559967,150000,136883.9967,139467.33,0.643045257
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 4.25% 10-nov-2044,718172BL,NA,350000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Philip Morris International Inc. 4.875% 15-nov-2043,718172BD,106.3659973,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Phillips 66 3.9% 15-mar-2028,718546AR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Phillips 66 4.875% 15-nov-2044,718546AL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Phillips 66 Partners Lp 3.55% 01-oct-2026,718549AD,NA,10000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Phillips 66 Partners Lp 3.75% 01-mar-2028,718549AF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Phillips 66 Partners Lp 4.9% 01-oct-2046,718549AE,NA,10000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Pnc Bank, National Association 2.0% 19-may-2020",69353RFC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Praxair, Inc. 3.0% 01-sep-2021",74005PAZ,101.8799973,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pricoa Global Funding I 2.45% 21-sep-2022,74153WCN,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Procter & Gamble Company 1.7% 03-nov-2021,742718EQ,NA,400000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Procter & Gamble Company 1.75% 25-oct-2019,742718EZ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Procter & Gamble Company 1.9% 01-nov-2019,742718EG,NA,350000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Procter & Gamble Company 2.45% 03-nov-2026,742718ER,NA,85000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Progress Energy, Inc. 7.0% 30-oct-2031",743263AG,133.3240051,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Progressive Corporation 4.0% 01-mar-2029,743315AV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Prologis, L.p. 3.35% 01-feb-2021",74340XAY,100.7279968,41000,41298.47998,41985.23,0.193582275
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Prudential Financial, Inc. 3.878% 27-mar-2028",74432QCC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Prudential Financial, Inc. 3.905% 07-dec-2047",744320AX,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Prudential Financial, Inc. 3.905% 07-dec-2047",744320AY,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Prudential Financial, Inc. 4.35% 25-feb-2050",74432QCE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Prudential Financial, Inc. 5.625% 15-jun-2043",744320AM,107,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Prudential Financial, Inc. 5.7% 15-sep-2048",744320BF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Pt Indonesia Asahan Aluminium (persero) 6.757% 15-nov-2048,74445PAD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Public Service Company Of Colorado 2.25% 15-sep-2022,744448CF,94.73100281,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Public Service Company Of Colorado 2.5% 15-mar-2023,744448CH,95.44999695,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Public Service Company Of Colorado 4.1% 15-jun-2048,744448CQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Public Service Enterprise Group Incorporated 1.6% 15-nov-2019,744573AJ,NA,515000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Public Service Enterprise Group Incorporated 2.0% 15-nov-2021,744573AK,NA,475000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Public Service Enterprise Group Incorporated 2.65% 15-nov-2022,744573AL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Public Storage 3.094% 15-sep-2027,74460DAC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Puget Energy, Inc. 3.65% 15-may-2025",745310AH,NA,275000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Puget Energy, Inc. 5.625% 15-jul-2022",745310AF,115.1039963,150000,172656,173031,0.797798049
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Puget Energy, Inc. 6.5% 15-dec-2020",745310AB,118.9369965,101000,120126.3745,120965.2356,0.55773722
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Qbe Insurance Group Limited 2.4% 01-may-2018,74728GAD,99.51399994,250000,248785,250285,1.15399486
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Rabobank International (utrecht Branch) 4.375% 04-aug-2025,21684AAC,NA,250000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Reckitt Benckiser Treasury Services Plc 2.375% 24-jun-2022,75625QAC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Reckitt Benckiser Treasury Services Plc 2.75% 26-jun-2024,75625QAD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Reynolds American Inc. 4.45% 12-jun-2025,761713BG,NA,325000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Reynolds American Inc. 5.85% 15-aug-2045,761713BB,NA,325000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Rio Tinto Finance (usa) Ltd. 3.75% 15-jun-2025,767201AS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Rio Tinto Finance (usa) Plc 4.125% 21-aug-2042,76720AAG,93.9509964,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Roche Holdings, Inc. 1.75% 28-jan-2022",771196BM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Roche Holdings, Inc. 2.25% 30-sep-2019",771196BA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Roche Holdings, Inc. 2.375% 28-jan-2027",771196BL,NA,235000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Roche Holdings, Inc. 3.35% 30-sep-2024",771196BE,NA,200000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Rockwell Collins, Inc. 2.8% 15-mar-2022",774341AH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Roper Technologies, Inc. 2.8% 15-dec-2021",776743AC,NA,275000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Roper Technologies, Inc. 3.8% 15-dec-2026",776743AD,NA,50000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Royal Bank Of Canada 2.125% 02-mar-2020,78012KC6,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Royal Bank Of Scotland Group Plc 3.498% 15-may-2023,780097BE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Royal Bank Of Scotland Group Plc 5.076% 27-jan-2030,78009PEH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sabine Pass Liquefaction Llc 4.2% 15-mar-2028,785592AT,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sabine Pass Liquefaction Llc 4.2% 15-mar-2028,785592AU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sabine Pass Liquefaction Llc 5.0% 15-mar-2027,785592AR,NA,25000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sabine Pass Liquefaction Llc 5.0% 15-mar-2027,785592AS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sabine Pass Liquefaction Llc 5.625% 01-feb-2021,785592AE,104,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sabine Pass Liquefaction Llc 5.625% 01-mar-2025,785592AM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sabine Pass Liquefaction Llc 5.875% 30-jun-2026,785592AV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sands China Ltd. 5.4% 08-aug-2028,80007RAD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sands China Ltd. 5.4% 08-aug-2028,80007RAE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Santander Holdings Usa, Inc. 3.4% 18-jan-2023",80282KAQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Santander Holdings Usa, Inc. 3.4% 18-jan-2023",80282KAS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Santander Holdings Usa, Inc. 3.7% 28-mar-2022",80282KAK,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Santander Holdings Usa, Inc. 3.7% 28-mar-2022",80282KAT,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Scana Corporation 4.125% 01-feb-2022,80589MAE,103.6449966,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Scana Corporation 4.75% 15-may-2021,80589MAD,108.6989975,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Scana Corporation 6.25% 01-apr-2020,80589MAB,115.435997,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Scentre Group Trust 1 2.375% 28-apr-2021,806213AC,NA,130000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Scentre Group Trust 1 3.5% 12-feb-2025,806213AB,NA,450000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Scentre Management Ltd. 3.75% 23-mar-2027,80622GAC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Schlumberger Holdings Corp. 3.625% 21-dec-2022,806851AE,NA,465000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Schlumberger Holdings Corp. 3.75% 01-may-2024,806851AJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Schlumberger Holdings Corp. 4.0% 21-dec-2025,806851AG,NA,180000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Schlumberger Holdings Corp. 4.3% 01-may-2029,806851AH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Seagate Hdd Cayman 4.25% 01-mar-2022,81180WAU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 1.75% 12-sep-2021,822582BW,NA,225000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 1.875% 10-may-2021,822582BS,NA,275000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 2.5% 12-sep-2026,822582BX,NA,125000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 2.875% 10-may-2026,822582BT,NA,55000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 3.5% 13-nov-2023,822582BZ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 3.75% 12-sep-2046,822582BY,NA,165000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 3.875% 13-nov-2028,822582CB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shell International Finance Bv 4.0% 10-may-2046,822582BQ,NA,300000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sherwin-williams Company 2.75% 01-jun-2022,824348AU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sherwin-williams Company 3.125% 01-jun-2024,824348AV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sherwin-williams Company 3.45% 01-jun-2027,824348AW,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sherwin-williams Company 4.5% 01-jun-2047,824348AX,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shire Acquisitions Investments Ireland Dac 2.4% 23-sep-2021,82481LAB,NA,1150000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shire Acquisitions Investments Ireland Dac 2.875% 23-sep-2023,82481LAC,NA,580000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Shire Acquisitions Investments Ireland Dac 3.2% 23-sep-2026,82481LAD,NA,330000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Siemens Financieringsmaatschappij Nv 1.3% 13-sep-2019,82620KAH,NA,500000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Siemens Financieringsmaatschappij Nv 2.0% 15-sep-2023,82620KAK,NA,250000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Siemens Financieringsmaatschappij Nv 2.35% 15-oct-2026,82620KAL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Siemens Financieringsmaatschappij Nv 2.7% 16-mar-2022,82620KAR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Siemens Financieringsmaatschappij Nv 3.125% 16-mar-2024,82620KAS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Simon Property Group Lp 2.35% 30-jan-2022,828807DA,NA,215000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Simon Property Group Lp 3.25% 30-nov-2026,828807CY,NA,475000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Simon Property Group Lp 3.375% 01-dec-2027,828807DE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Site Centers Corp. 3.9% 15-aug-2024,23317HAG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Site Centers Corp. 4.7% 01-jun-2027,23317HAF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Site Centers Corp. 7.5% 01-apr-2017,251591AU,114.6220016,200000,229243.9999,234244,1.080034249
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Site Centers Corp. 7.875% 01-sep-2020,251591AV,125.5699997,150000,188355.0002,193276.875,0.891146175
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Skandinaviska Enskilda Banken Ab 2.625% 17-nov-2020,83051GAE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Smithfield Foods, Inc. 3.35% 01-feb-2022",832248AY,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Societe Generale S.a. 0.0% 02-apr-2018,83369CD2,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,South Carolina St Pub Svcs Auth Rev 5.25% 01-dec-2055,837151PF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern California Edison Company 3.7% 01-aug-2025,842400GN,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern California Edison Company 3.9% 15-mar-2043,842400FW,96.61299896,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern California Edison Company 4.125% 01-mar-2048,842400GK,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern California Edison Company 4.2% 01-mar-2029,842400GQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern California Edison Company 4.65% 01-oct-2043,842400FZ,108.1910019,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern California Edison Company 4.875% 01-mar-2049,842400GR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern Company 2.35% 01-jul-2021,842587CS,NA,425000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southern Company 5.5% 15-mar-2057,842587CY,NA,415000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southwestern Electric Power Company 2.75% 01-oct-2026,845437BP,NA,200000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Southwestern Public Service Company 3.7% 15-aug-2047,845743BR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Spectra Energy Partners, Lp 3.375% 15-oct-2026",84756NAH,NA,30000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 2.1% 04-feb-2021,855244AJ,NA,425000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 2.2% 22-nov-2020,855244AL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 2.7% 15-jun-2022,855244AG,NA,25000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 3.1% 01-mar-2023,855244AN,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 3.75% 01-dec-2047,855244AM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 3.8% 15-aug-2025,855244AQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 4.0% 15-nov-2028,855244AR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 4.3% 15-jun-2045,855244AH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Starbucks Corporation 4.5% 15-nov-2048,855244AS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Sumitomo Mitsui Financial Group, Inc. 2.784% 12-jul-2022",86562MAQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Sumitomo Mitsui Financial Group, Inc. 3.102% 17-jan-2023",86562MAX,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sunoco Logistics Partners Operations Lp 4.0% 01-oct-2027,86765BAU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Sunoco Logistics Partners Operations Lp 5.4% 01-oct-2047,86765BAV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Svenska Handelsbanken Ab 1.875% 07-sep-2021,86960BAQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Swedbank Ab 2.2% 04-mar-2020,87020PAE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Swedbank Ab 2.8% 14-mar-2022,87020PAH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Swiss Re Finance (luxembourg) Sa 5.0% 02-apr-2049,87089NAA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Symantec Corporation 5.0% 15-apr-2025,871503AU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Takeda Pharmaceutical Company Limited 4.4% 26-nov-2023,874060AR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Takeda Pharmaceutical Company Limited 5.0% 26-nov-2028,874060AU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Tal Advantage V Series 2013-1 2.83% 22-feb-2038,87407PAA,NA,326833,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Tal Advantage Vi Llc 2017-1 4.5% 20-apr-2042,874074AA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Tampa Electric Company 4.45% 15-jun-2049,875127BF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Td Ameritrade Holding Corporation 3.3% 01-apr-2027,87236YAF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Teco Finance, Inc. 5.15% 15-mar-2020",87875UAK,111.9749985,515000,576671.2727,586690.884,2.70506928
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Teva Pharmaceutical Finance Netherlands Iii Bv 2.2% 21-jul-2021,88167AAC,NA,625000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Teva Pharmaceutical Finance Netherlands Iii Bv 2.8% 21-jul-2023,88167AAD,NA,165000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Teva Pharmaceutical Finance Netherlands Iii Bv 3.15% 01-oct-2026,88167AAE,NA,450000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Teva Pharmaceutical Finance Netherlands Iii Bv 4.1% 01-oct-2046,88167AAF,NA,300000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Thomson Reuters Corporation 1.3% 23-feb-2017,884903BN,99.73999786,150000,149609.9917,150465.825,0.693756273
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Toronto-dominion Bank 1.45% 06-sep-2018,89114QBN,NA,475000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Toronto-dominion Bank 1.9% 24-oct-2019,89114QBU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Toronto-dominion Bank 3.25% 11-mar-2024,89114QCB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Total Capital International Sa 3.455% 19-feb-2029,89153VAQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Total Capital International Sa 3.7% 15-jan-2024,89153VAG,102.9260025,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Total Capital Sa 3.883% 11-oct-2028,89152UAH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Toyota Motor Credit Corporation 2.15% 08-sep-2022,89236TEC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Toyota Motor Credit Corporation 2.25% 18-oct-2023,89236TDK,NA,395000,NA,NA,0
