fund_name,ticker,date,security_name,CUSIP,price,quantity,clean_mkt_value,dirty_mkt_value,ptf_weight
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 3.8% 14-feb-2024",02209SBB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 3.875% 16-sep-2046",02209SAV,NA,740000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 4.4% 14-feb-2026",02209SBC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 4.8% 14-feb-2029",02209SBD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 5.8% 14-feb-2039",02209SBE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Altria Group, Inc. 5.95% 14-feb-2049",02209SBF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 2.4% 22-feb-2023",023135AU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 2.4% 22-feb-2023",023135AW,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 2.8% 22-aug-2024",023135AX,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 2.8% 22-aug-2024",023135AZ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 3.15% 22-aug-2027",023135BA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 3.15% 22-aug-2027",023135BC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 3.875% 22-aug-2037",023135BD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 4.05% 22-aug-2047",023135BG,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 4.05% 22-aug-2047",023135BJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Amazon.com, Inc. 4.95% 05-dec-2044",023135AQ,NA,275000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Ameren Illinois Co. 3.7% 01-dec-2047,02361DAR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Campus Communities Operating Partnership Lp 3.35% 01-oct-2020,024836AC,NA,260000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Campus Communities Operating Partnership Lp 3.625% 15-nov-2027,024836AD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Campus Communities Operating Partnership Lp 4.125% 01-jul-2024,024836AB,100.387001,200000,200774.0033,201621.92,0.929622868
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American Campus Communities, Inc. 3.75% 15-apr-2023",024836AA,98.56500244,50000,49282.49868,49834.582,0.229773464
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American Electric Power Company, Inc. 2.95% 15-dec-2022",025537AG,97.55799866,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American Electric Power Company, Inc. 3.2% 13-nov-2027",025537AJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American Electric Power Company, Inc. 3.65% 01-dec-2021",025537AL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American Electric Power Company, Inc. 4.3% 01-dec-2028",025537AM,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Express Company 2.2% 30-oct-2020,025816BP,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Express Company 3.7% 05-nov-2021,025816BY,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Honda Finance Corp. 1.2% 12-jul-2019,02665WBE,NA,350000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Honda Finance Corp. 1.65% 12-jul-2021,02665WBF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Honda Finance Corp. 1.7% 09-sep-2021,02665WBG,NA,500000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Honda Finance Corp. 2.3% 09-sep-2026,02665WBH,NA,20000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Honda Finance Corp. 2.6% 16-nov-2022,02665WCA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,American Honda Finance Corp. 3.5% 15-feb-2028,02665WCE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American International Group, Inc. 3.9% 01-apr-2026",026874DH,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American International Group, Inc. 4.2% 01-apr-2028",026874DK,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American International Group, Inc. 4.75% 01-apr-2048",026874DL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"American International Group, Inc. 4.8% 10-jul-2045",026874DF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Amgen Inc. 1.85% 19-aug-2021,031162CG,NA,370000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Amgen Inc. 2.65% 11-may-2022,031162CP,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Amgen Inc. 4.4% 01-may-2045,031162BZ,NA,400000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anadarko Petroleum Corporation 4.85% 15-mar-2021,032511BM,NA,45000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anadarko Petroleum Corporation 5.55% 15-mar-2026,032511BN,NA,50000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anadarko Petroleum Corporation 6.2% 15-mar-2040,032510AC,123.1940002,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anadarko Petroleum Corporation 6.6% 15-mar-2046,032511BP,NA,45000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Analog Devices, Inc. 2.5% 05-dec-2021",032654AL,NA,25000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Analog Devices, Inc. 3.125% 05-dec-2023",032654AM,NA,40000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Analog Devices, Inc. 3.5% 05-dec-2026",032654AN,NA,35000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Andeavor Llc 4.5% 01-apr-2048,03349MAB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Andeavor Logistics Lp 3.5% 01-dec-2022,03350WAA,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Andeavor Logistics Lp 4.25% 01-dec-2027,03350WAC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Andeavor Logistics Lp 5.2% 01-dec-2047,03350WAB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anglo American Capital Plc 3.625% 11-sep-2024,034863AS,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anglo American Capital Plc 4.0% 11-sep-2027,034863AT,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anheuser-busch Cos. Llc 3.65% 01-feb-2026,03522AAD,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anheuser-busch Cos. Llc 4.7% 01-feb-2036,03522AAE,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Anheuser-busch Cos. Llc 4.9% 01-feb-2046,03522AAF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Finance, Inc. 2.65% 01-feb-2021",035242AJ,NA,75000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Finance, Inc. 3.65% 01-feb-2026",035242AP,NA,1550000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Finance, Inc. 4.9% 01-feb-2046",035242AN,NA,75000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 2.5% 15-jul-2022",03523TBP,96.17199707,500000,480859.9944,481415.55,2.219673854
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 3.5% 12-jan-2024",035240AJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 4.0% 13-apr-2028",035240AL,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 4.6% 15-apr-2048",035240AN,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 4.75% 23-jan-2029",035240AQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 4.9% 23-jan-2031",035240AR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 5.45% 23-jan-2039",03523TBU,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anheuser-busch Inbev Worldwide, Inc. 5.55% 23-jan-2049",03523TBV,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anthem, Inc. 2.95% 01-dec-2022",036752AF,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,"Anthem, Inc. 3.125% 15-may-2022",94973VAX,98.83200073,825000,815363.9816,820806.69,3.784512463
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 0.0% 02-nov-2017,03785DY2,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 2.0% 13-nov-2020,037833DJ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 2.1% 12-sep-2022,037833DC,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 2.3% 11-may-2022,037833CQ,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 2.45% 04-aug-2026,037833BZ,NA,75000,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 2.9% 12-sep-2027,037833DB,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 3.0% 13-nov-2027,037833DK,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 3.2% 11-may-2027,037833CR,NA,NA,NA,NA,0
American Funds Corporate Bond Fund,BFCCX,31-Jul-14,Apple Inc. 3.35% 09-feb-2027,037833CJ,NA,NA,NA,NA,0
